Actividad,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,VALENCE,TOT_CHG,ATOM_CHG,NON_STD_ATOM,AROMATICITY,N_WARNINGS,MW,GD,nAT,nSK,nBT,nBO,RBN,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nHet,nX,H%,C%,N%,O%,X%,totalcharge,nCIC,nCIR,TRS,Rbrid,NRS,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,BLTF96,BLTD48,BLTA96,Ro5,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_07,DLS_cons,LLS_01,LLS_02,CMC-80,CMC-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50
1,14.86,0.28,3.56,8.64,0,0,0,0,0,0,528.63,0.05832148,69,38,72,41,7,4,0,12,31,28,4,3,0,0,3,0,0,0,0,0,10,3,44.92753623,40.57971014,5.79710145,4.34782609,4.34782609,0,4,5,23,1,3,0,1,0,2,1,0,0,0,1,0,0.17505001,136.6213,90.87,90.87,4.37188772,4.9881,668.6527059,176.2464657,36.02150137,634.1362126,263.2689396,483.9,-5.10610457,-5.47329334,-5.60188772,1,0.5,0.83333333,0.83333333,0.9,1,0.83333333,1,0.84285714,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.39,0.25,3.33,8.37,0,0,0,0,0,0,611.17,0.05487805,74,41,78,45,6,4,0,12,33,28,4,5,0,1,2,1,0,0,0,2,13,3,44.59459459,37.83783784,5.40540541,6.75675676,4.05405405,0,5,5,29,0,4,0,0,1,4,0,0,0,0,0,0,-0.67852385,149.6846,90.47,98.85,3.38661194,4.3935,724.0427891,146.4144229,0,694.4518272,287.9884538,522.05,-4.26862015,-4.53728135,-4.61661194,0,0.75,0.66666667,0.83333333,0.9,1,0.83333333,1,0.8547619,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15.31,0.31,3,13.57,0,0,0,0,0,0,622.24,0.05458769,80,42,85,47,7,3,0,12,38,31,3,4,0,1,2,1,0,0,0,2,11,3,47.5,38.75,3.75,5,3.75,0,6,6,33,0,6,1,0,0,5,0,0,0,0,0,0,-0.73347763,158.3453,70.16,78.54,4.6993601,6.5204,743.7464601,118.145182,0,727.4418605,301.5089592,544.44,-5.38445608,-5.78439209,-5.9293601,1,0.5,0.5,0.83333333,0.9,1,0.83333333,1,0.7952381,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.06,0.26,2.49,8.35,0,0,0,0,0,0,634.28,0.05315615,84,43,89,48,10,3,0,12,41,32,3,5,0,1,1,1,0,0,0,2,11,2,48.80952381,38.0952381,3.57142857,5.95238095,2.38095238,0,6,7,32,2,5,1,0,1,4,1,0,0,0,0,0,0.13730837,162.8083,99.18,107.56,3.77491209,5.742,798.8848451,160.7548487,60.69409384,757.6744186,313.8993519,564.46,-4.59867527,-4.90616648,-5.00491209,0,0.75,0.5,0.66666667,0.9,1,0.83333333,1,0.80714286,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.62,0.27,1.68,12.24,0,0,0,0,0,0,630.29,0.05426357,84,43,90,49,7,3,0,12,41,33,3,4,0,1,1,1,0,0,0,2,10,2,48.80952381,39.28571429,3.57142857,4.76190476,2.38095238,0,7,8,38,2,6,1,0,1,5,1,0,0,0,0,0,-0.76277954,165.0095,70.16,78.54,4.70537451,6.8333,765.312537,103.1850687,0,753.2890365,312.1020642,560.61,-5.38956833,-5.79010578,-5.93537451,1,0.5,0.5,0.83333333,0.9,1,0.83333333,1,0.7952381,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.97,0.24,1.45,6.35,0,0,0,0,0,0,429.51,0.07056452,55,32,58,35,5,3,0,18,23,25,3,4,0,0,0,0,0,0,0,0,7,0,41.81818182,45.45454545,5.45454545,7.27272727,0,0,4,7,25,2,2,0,0,0,3,1,0,0,0,2,0,0.17699483,119.1247,87.74,87.74,2.39020838,3.6006,544.4284474,125.5804842,36.02150137,534.0365449,222.2444856,395.4,-3.42167712,-3.59069796,-3.62020838,0,1,1,1,0.6,0.5,1,1,0.87142857,0.33333333,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,24.53,0.45,6.67,8.95,0,0,0,0,0,0,337.41,0.09,44,25,46,27,3,3,0,12,19,19,3,3,0,0,0,0,0,0,0,0,6,0,43.18181818,43.18181818,6.81818182,6.81818182,0,0,3,6,19,2,1,0,0,0,2,1,0,0,0,2,0,0.96585673,93.0924,92.5,92.5,1.39005897,1.3755,437.2636482,129.4670332,50.90793816,423.3222591,176.8697783,313.99,-2.57155012,-2.64055602,-2.62005897,0,1,1,1,0.8,0.5,1,1,0.9,0.5,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0
1,22.13,0.42,8.35,8.57,0,0,0,0,0,0,430.45,0.07096774,51,31,53,33,5,4,0,12,20,21,4,4,0,0,2,0,0,0,0,0,10,2,39.21568627,41.17647059,7.84313725,7.84313725,3.92156863,0,3,4,19,1,2,0,0,0,2,1,0,0,0,1,0,0.93996083,107.5871,111.1,111.1,1.82592156,1.4957,538.3488296,203.7246514,78.70484453,495.166113,206.3139807,377.88,-2.94203333,-3.05462548,-3.05592156,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
1,22.17,0.43,7.06,9.38,0,0,0,0,0,0,384.5,0.08262108,47,27,49,29,5,4,0,11,20,19,4,3,0,1,0,0,0,0,0,1,8,0,42.55319149,40.42553191,8.5106383,6.38297872,0,0,3,4,18,1,2,0,0,1,1,1,0,0,0,1,0,0.30395797,104.5752,90.87,119.11,1.44292342,1.5836,489.4321978,131.1210817,36.02150137,467.0598007,194.7950003,343.5,-2.61648491,-2.69077725,-2.67292342,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0
1,14.28,0.29,3.43,7.74,0,0,0,0,0,0,518.13,0.06386555,67,35,70,38,8,4,0,12,32,26,3,4,0,1,0,1,0,0,0,2,9,1,47.76119403,38.80597015,4.47761194,5.97014925,1.49253731,0,4,4,22,0,4,1,0,0,2,1,0,0,0,0,0,0.19051903,136.9757,95.58,103.96,3.20745022,4.5961,658.8737228,132.1428682,36.02150137,633.5049834,263.0102391,467.88,-4.11633269,-4.36707771,-4.43745022,0,0.75,0.83333333,0.83333333,0.9,1,0.83333333,1,0.87857143,0.16666667,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
