Actividad_500	MW	GD	nAT	nSK	nBT	nBO	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nStructures	totalcharge	nCIC	nCIR	TRS	Rbrid	NRS	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	Hy	AMR	TPSA(NO)	TPSA(Tot)	MLOGP	ALOGP	SAtot	SAacc	SAdon	Vx	VvdwMG	VvdwZAZ	BLTF96	BLTD48	BLTA96	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50
0	51352	605	62	35	63	36	6	1	1	6	27	24	1	2	0	0	8	0	0	0	0	0	11	8	435484	387097	16129	32258	129032	1	0	2	2	12	0	2	0	0	0	2	0	0	0	0	0	0	-2879	1137692	4054	4054	55737	68699	6.319.919	1906335	426833	560299	2330078	44944	-61277	-6615	-68037	1	5	6667	6667	8	1	6667	1	7571	5	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4126	782	54	30	58	34	4	0	0	23	24	25	4	0	0	1	0	0	0	0	0	1	5	0	444444	462963	74074	0	0	1	0	5	6	29	1	4	0	0	1	4	0	0	1	0	0	0	-4149	1208673	507	7894	50481	56688	5.119.821	683673	180108	5278738	2197188	36913	-56809	-61157	-62781	0	75	8333	8333	7	5	8333	1	7786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4126	782	54	30	58	34	4	0	0	23	24	25	4	0	0	1	0	0	0	0	0	1	5	0	444444	462963	74074	0	0	1	0	5	6	29	1	4	0	0	1	4	0	0	1	0	0	0	-4149	121317	507	7894	50481	58724	5.119.821	683673	180108	5278738	2197188	36913	-56809	-61157	-62781	0	75	8333	8333	7	5	8333	1	7786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	57821	58	76	39	80	43	7	3	0	12	37	29	3	4	0	1	1	1	0	0	0	2	10	2	486842	381579	39474	52632	26316	1	0	5	5	30	0	5	0	0	0	5	0	0	0	0	0	0	-7385	1510289	7016	7854	39633	5969	7.168.938	1031851	0	6957475	2885195	51613	-47588	-50852	-51933	0	75	8333	8333	9	1	8333	1	8786	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36188	978	40	24	43	27	2	2	1	11	16	17	3	2	0	1	0	1	0	0	0	2	7	1	40	425	75	5	25	1	0	4	7	23	3	2	0	0	1	3	0	1	1	0	1	0	-2597	935862	6606	7444	26793	41104	4.065.816	624945	16663	4104983	1716141	29724	-36674	-38653	-39093	0	1	1	1	8	5	1	1	9	5	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0
1	13548	214	194	99	199	104	44	9	1	36	95	78	7	14	0	0	0	0	0	0	0	0	21	0	489691	402062	36082	72165	0	1	0	6	6	36	0	6	0	0	0	6	0	0	0	0	0	0	35122	3784051	29499	29499	24281	11018	19.362.003	4390625	1687586	17808306	7332256	13419	-34539	-36267	-36581	1	25	1667	3333	7	1	1667	0	3738	1667	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	125069	232	182	91	186	95	42	8	1	30	91	71	7	13	0	0	0	0	0	0	0	0	20	0	50	39011	38462	71429	0	1	0	5	5	30	0	5	0	0	0	5	0	0	0	0	0	0	35997	3478296	27792	27792	2415	96138	18.145.614	4139176	1687586	16538538	681186	124583	-34427	-36142	-3645	1	25	3333	3333	7	1	1667	0	3976	1667	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	147295	197	212	107	217	112	52	9	1	36	105	83	7	17	0	0	0	0	0	0	0	0	24	0	495283	391509	33019	80189	0	1	0	6	6	36	0	6	0	0	0	6	0	0	0	0	0	0	34533	4071562	32268	32268	10619	96515	21.119.308	4720622	1687586	19271096	7931761	145477	-22926	-23288	-22919	1	25	1667	3333	7	1	1667	0	3738	1667	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	136884	212	200	99	204	103	50	8	1	30	101	76	7	16	0	0	0	0	0	0	0	0	23	0	505	38	35	8	0	1	0	5	5	30	0	5	0	0	0	5	0	0	0	0	0	0	35324	3765807	30561	30561	10635	82473	19.902.918	4469172	1687586	18001329	7411364	13587	-22939	-23303	-22935	1	25	3333	3333	7	1	1667	0	3976	1667	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	96529	301	136	72	141	77	26	6	1	36	64	61	4	7	0	0	0	0	0	0	0	0	11	0	470588	448529	29412	51471	0	1	0	6	6	36	0	6	0	0	0	6	0	0	0	0	0	0	16662	2817878	17077	17077	5605	113641	13.603.802	2655959	1147263	12863787	5305814	96119	-61543	-66448	-6835	1	25	1667	3333	5	5	1667	0	2738	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
